Model Type,Explanation,Model Invariance,Explanation Equivariance
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,0.9999999403953552
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,0.9999999403953552,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,0.9999999403953552
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,0.9999999403953552,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0000001192092896
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,0.9999999403953552,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,1.0000001192092896,1.0
All-CNN,DeepLift,1.0,1.0
All-CNN,DeepLift,0.9999999403953552,1.0
All-CNN,DeepLift,1.0000001192092896,1.0
